2024-01-01,25,18,12
2024-01-02,27,19,10
2024-01-03,26,17,14
2024-01-04,28,20,11
2024-01-05,24,16,13
2024-01-06,26,18,12
2024-01-07,27,19,11
2024-01-08,25,17,13
2024-01-09,28,20,10
2024-01-10,29,21,14
2024-01-11,30,22,15
2024-01-12,31,23,13
2024-01-13,32,24,12
2024-01-14,33,25,14
2024-01-15,34,26,13
2024-01-16,35,27,12
2024-01-17,36,28,11
2024-01-18,37,29,10
2024-01-19,38,30,12
2024-01-20,39,31,14
2024-01-21,28,20,13
2024-01-22,27,19,12
2024-01-23,26,18,11
2024-01-24,25,17,10
2024-01-25,24,16,14
2024-01-26,23,15,13
2024-01-27,22,14,12
2024-01-28,21,13,11
2024-01-29,20,12,10
2024-01-30,19,11,9
2024-01-31,18,10,8
2024-02-01,25,18,12
2024-02-02,27,19,10
2024-02-03,26,17,14
2024-02-04,28,20,11
2024-02-05,24,16,13
2024-02-06,26,18,12
2024-02-07,27,19,11
2024-02-08,25,17,13
2024-02-09,28,20,10
2024-02-10,29,21,14
2024-02-11,30,22,15
2024-02-12,31,23,13
2024-02-13,32,24,12
2024-02-14,33,25,14
2024-02-15,34,26,13
2024-02-16,35,27,12
2024-02-17,36,28,11
2024-02-18,37,29,10
2024-02-19,38,30,12
2024-02-20,39,31,14
2024-02-21,28,20,13
2024-02-22,27,19,12
2024-02-23,26,18,11
2024-02-24,25,17,10
2024-02-25,24,16,14
2024-02-26,23,15,13
2024-02-27,22,14,12
2024-02-28,21,13,11
2024-02-29,20,12,10
2024-03-01,25,18,12
2024-03-02,27,19,10
2024-03-03,26,17,14
2024-03-04,28,20,11
2024-03-05,24,16,13
2024-03-06,26,18,12
2024-03-07,27,19,11
2024-03-08,25,17,13
2024-03-09,28,20,10
2024-03-10,29,21,14
2024-03-11,30,22,15
2024-03-12,31,23,13
2024-03-13,32,24,12
2024-03-14,33,25,14
2024-03-15,34,26,13
2024-03-16,35,27,12
2024-03-17,36,28,11
2024-03-18,37,29,10
2024-03-19,38,30,12
2024-03-20,39,31,14
2024-03-21,28,20,13
2024-03-22,27,19,12
2024-03-23,26,18,11
2024-03-24,25,17,10
2024-03-25,24,16,14
2024-03-26,23,15,13
2024-03-27,22,14,12
2024-03-28,21,13,11
2024-03-29,20,12,10
2024-03-30,19,11,9
2024-03-31,18,10,8
